plate,position,well,Z-score R1: normalized_r1_ch1,Z-score R2: normalized_r2_ch1,Z-score R3: normalized_r3_ch1,GeneID,GeneSymbol,Median,Significance,Antibody
8,12,A12,-1.34,-0.059,0.201,NM_181807,DCDC1,-0.059,0,L243
3,29,C05,-0.254,0.023,0.201,siControl,siControl,0.023,0,L243
10,9,A09,0.215,0.817,0.209,NM_152551,C6ORF151,0.215,0,L243
6,63,F03,-1.709,0.05,0.216,NM_032145,FBXO30,0.05,0,L243
3,83,G11,0.385,0.675,0.217,NM_015578,C19ORF13,0.385,0,L243
11,66,F06,-0.25,0.795,0.217,XM_376814,LOC401487,0.217,0,L243
10,54,E06,-1.068,-1.333,0.219,NM_152489,MGC35130,-1.068,0,L243
10,16,B04,-0.175,-0.456,0.219,siControl,siControl,-0.175,0,L243
7,16,B04,-0.062,-0.158,0.225,siControl,siControl,-0.062,0,L243
8,50,E02,-0.519,0.079,0.239,wt,wt,0.079,0,L243
5,50,E02,-0.957,-0.194,0.243,wt,wt,-0.194,0,L243
8,28,C04,-0.693,0.495,0.249,XM_012219,LOC144483,0.249,0,L243
3,55,E07,0.109,-0.023,0.256,siControl,siControl,0.109,0,L243
10,69,F09,-0.068,0.37,0.256,NM_032590,FBXL10,0.256,0,L243
9,71,F11,-0.559,-0.088,0.26,XM_371227,CROCC,-0.088,0,L243
6,3,A03,0.044,0.03,0.263,siControl,siControl,0.044,0,L243
5,94,H10,0.542,0.23,0.271,siControl,siControl,0.271,0,L243
8,14,B02,NA,-0.689,0.277,wt,wt,-0.206,0,L243
3,42,D06,0.093,-0.023,0.28,siControl,siControl,0.093,0,L243
11,67,F07,-0.297,0.894,0.284,NM_014453,BC-2,0.284,0,L243
10,12,A12,0.375,0.852,0.293,NM_001001661,LOC155054,0.375,0,L243
2,11,A11,-0.956,0.195,0.294,siControl,siControl,0.195,0,L243
2,55,E07,0.341,0.387,0.302,siControl,siControl,0.341,0,L243
7,20,B08,0.35,0.872,0.309,NM_207459,FLJ35767,0.35,0,L243
11,24,B12,-0.584,-0.195,0.313,siControl,siControl,-0.195,0,L243
3,56,E08,0.132,0.245,0.319,NM_005386,NNAT,0.245,0,L243
10,79,G07,-0.336,0.408,0.321,NM_032429,LZTS2,0.321,0,L243
11,11,A11,-0.669,-0.369,0.322,siControl,siControl,-0.369,0,L243
2,24,B12,-0.808,-0.04,0.325,siControl,siControl,-0.04,0,L243
6,42,D06,-0.316,-0.35,0.332,siControl,siControl,-0.316,0,L243
7,4,A04,-1.001,0.628,0.355,NM_182827,FKBP9L,0.355,0,L243
4,6,A06,-0.492,0.675,0.359,NM_182567,FLJ34690,0.359,0,L243
11,10,A10,0.463,0.702,0.36,NM_015470,GAF1,0.463,0,L243
5,4,A04,-0.491,0.808,0.365,NM_015024,XPO7,0.365,0,L243
6,24,B12,-0.044,0.149,0.366,siControl,siControl,0.149,0,L243
8,11,A11,-0.68,-0.178,0.371,siControl,siControl,-0.178,0,L243
10,94,H10,0.745,0.313,0.376,siControl,siControl,0.376,0,L243
11,44,D08,-0.164,0.319,0.379,NM_152899,IL4I1,0.319,0,L243
8,94,H10,0.248,-0.059,0.381,siControl,siControl,0.248,0,L243
9,77,G05,-0.538,0.884,0.382,NM_004211,SLC6A5,0.382,0,L243
3,40,D04,-0.402,0.323,0.388,NM_012100,DNPEP,0.323,0,L243
3,36,C12,-0.054,0.812,0.388,NM_014597,ERBP,0.388,0,L243
5,45,D09,-0.365,0.695,0.402,NM_001727,BRS3,0.402,0,L243
12,50,E02,-0.618,-0.163,0.407,wt,wt,-0.163,0,L243
12,85,H01,-0.859,-0.025,0.407,siDM,siDM,-0.025,0,L243
6,61,F01,-0.976,-0.371,0.423,siDM,siDM,-0.371,0,L243
11,47,D11,0.173,-0.163,0.426,XM_375747,LOC400760,0.173,0,L243
7,91,H07,-0.555,0.1,0.429,XM_379534,LOC401437,0.1,0,L243
5,11,A11,NA,0.352,0.43,siControl,siControl,0.391,0,L243
8,24,B12,-0.557,-0.434,0.436,siControl,siControl,-0.434,0,L243
1,43,D07,0.286,0.58,0.442,NM_199242,UNC13D,0.442,0,L243
9,24,B12,-0.649,-0.327,0.456,siControl,siControl,-0.327,0,L243
7,9,A09,-0.014,0.603,0.456,NM_198540,B3GALT7,0.456,0,L243
2,79,G07,0.52,0.756,0.457,NM_020162,DHX33,0.52,0,L243
