GeneSymbol,MedianCLIP,MedianL243,selectedMedian
TGM4,-0.724,0.746,0.746
TGM5,0.272,-0.12449999999999999,0.272
TGM6,-0.931,-0.3675,0.931
TGM7,-0.217,0.933,0.933
TGOLN2,-0.6174999999999999,-0.40249999999999997,0.6174999999999999
TGS,0.106,1.095,1.095
TH1L,-0.5845,0.2635,0.5845
THADA,0.149,-0.539,0.539
THAP1,1.622,0.909,1.622
THAP10,0.802,-0.334,0.802
THAP11,1.489,0.155,1.489
THAP4,-0.083,-1.1219999999999999,1.1219999999999999
THAP5,0.939,0.818,0.939
THAP6,-0.293,-0.185,0.293
THAP7,-0.148,0,0.148
THAP8,1.27,0.656,1.27
THAP9,-1.013,-0.08,1.013
THEM2,1.031,0.47950000000000004,1.031
THG-1,-1.158,-1.494,1.494
THH,-0.5795,-1.0375,1.0375
THOC2,0.326,0.761,0.761
THOC3,-0.77,0.332,0.77
THOC4,-0.212,-0.412,0.412
THOP1,0.492,0.8674999999999999,0.8674999999999999
THRAP2,-0.747,-1.067,1.067
THRAP6,-0.046,0,0.046
THSD1,0.8500000000000001,-0.624,0.8500000000000001
THSD2,1.6875,-0.44050000000000006,1.6875
THSD3,2.358,-0.208,2.358
THSD6,-0.053,-0.159,0.159
THTPA,4.357,2.086,4.357
THUMPD1,1.2705000000000002,0.3295,1.2705000000000002
THUMPD2,1.137,-0.726,1.137
THUMPD3,0.571,-0.688,0.688
THY28,-0.435,-0.8855000000000001,0.8855000000000001
TIAM2,-0.24,-0.678,0.678
TIGA1,0.1775,-0.41500000000000004,0.41500000000000004
TIGD1,-1.568,-0.027,1.568
TIGD2,0.709,-0.247,0.709
TIGD3,0.47,-0.142,0.47
TIGD4,-0.566,-0.23,0.566
TIGD5,-0.217,-0.274,0.274
TIGD6,-0.427,0.742,0.742
TIGD7,-0.123,-1.059,1.059
TIM14,-1.246,0.507,1.246
TIMM10,0.768,-0.998,0.998
TIMM13,1.8054999999999999,1.1635,1.8054999999999999
TIMM17A,-0.325,0.653,0.653
TIMM17B,-0.17600000000000002,-1.491,1.491
